iter	Passed	Remaining
0	230	68932
1	252	37587
2	272	26938
3	286	21227
4	301	17792
5	325	15938
6	350	14690
7	377	13780
8	390	12617
9	414	12008
10	440	11566
11	467	11230
12	494	10907
13	513	10486
14	535	10183
15	559	9929
16	573	9547
17	596	9345
18	613	9070
19	629	8812
20	648	8609
21	666	8422
22	685	8257
23	708	8152
24	732	8055
25	756	7973
26	779	7878
27	797	7750
28	817	7640
29	838	7545
30	860	7470
31	879	7362
32	898	7265
33	915	7164
34	942	7134
35	958	7032
36	980	6967
37	999	6891
38	1018	6814
39	1033	6717
40	1048	6624
41	1066	6551
42	1080	6459
43	1087	6327
44	1101	6240
45	1114	6151
46	1129	6078
47	1145	6015
48	1165	5969
49	1188	5944
50	1214	5929
51	1245	5938
52	1270	5920
53	1296	5907
54	1322	5890
55	1348	5873
56	1373	5854
57	1385	5781
58	1405	5742
59	1415	5661
60	1439	5638
61	1464	5622
62	1492	5615
63	1519	5604
64	1544	5584
65	1570	5566
66	1593	5540
67	1618	5521
68	1643	5501
69	1666	5475
70	1692	5460
71	1717	5438
72	1736	5400
73	1750	5345
74	1756	5270
75	1763	5198
76	1777	5148
77	1792	5100
78	1810	5064
79	1828	5028
80	1847	4993
81	1865	4959
82	1883	4923
83	1899	4884
84	1919	4854
85	1934	4813
86	1958	4795
87	1982	4774
88	2001	4745
89	2024	4723
90	2041	4689
91	2056	4649
92	2071	4611
93	2088	4575
94	2104	4541
95	2122	4510
96	2145	4489
97	2167	4468
98	2193	4453
99	2219	4438
100	2245	4423
101	2267	4400
102	2289	4379
103	2313	4360
104	2336	4340
105	2362	4324
106	2386	4304
107	2413	4291
108	2436	4269
109	2457	4245
110	2482	4226
111	2507	4209
112	2533	4192
113	2559	4176
114	2586	4160
115	2612	4144
116	2638	4126
117	2655	4096
118	2669	4060
119	2679	4019
120	2702	3997
121	2727	3979
122	2753	3962
123	2779	3945
124	2806	3928
125	2832	3911
126	2856	3891
127	2881	3872
128	2907	3853
129	2928	3829
130	2954	3810
131	2980	3793
132	3005	3773
133	3032	3756
134	3057	3737
135	3079	3713
136	3102	3691
137	3124	3668
138	3140	3637
139	3154	3605
140	3172	3578
141	3191	3551
142	3205	3519
143	3220	3489
144	3244	3468
145	3267	3446
146	3291	3426
147	3316	3406
148	3342	3387
149	3374	3374
150	3399	3354
151	3426	3336
152	3453	3317
153	3479	3298
154	3504	3278
155	3531	3259
156	3555	3238
157	3579	3217
158	3605	3196
159	3630	3177
160	3655	3156
161	3671	3127
162	3692	3103
163	3717	3082
164	3748	3067
165	3774	3046
166	3802	3028
167	3834	3013
168	3861	2993
169	3892	2976
170	3923	2959
171	3949	2939
172	3978	2920
173	4003	2898
174	4019	2871
175	4037	2844
176	4057	2819
177	4079	2795
178	4103	2774
179	4129	2753
180	4147	2727
181	4173	2705
182	4203	2687
183	4227	2664
184	4251	2643
185	4278	2622
186	4306	2602
187	4327	2578
188	4355	2557
189	4380	2536
190	4407	2515
191	4436	2495
192	4465	2475
193	4495	2456
194	4521	2434
195	4546	2412
196	4572	2390
197	4599	2369
198	4625	2347
199	4651	2325
200	4681	2305
201	4706	2283
202	4731	2260
203	4759	2239
204	4788	2218
205	4818	2198
206	4842	2175
207	4866	2152
208	4882	2125
209	4901	2100
210	4926	2078
211	4952	2055
212	4972	2030
213	4990	2005
214	5019	1984
215	5044	1961
216	5076	1941
217	5110	1922
218	5135	1899
219	5164	1878
220	5190	1855
221	5216	1832
222	5243	1810
223	5268	1787
224	5290	1763
225	5316	1740
226	5349	1720
227	5373	1697
228	5401	1674
229	5427	1651
230	5452	1628
231	5479	1606
232	5505	1583
233	5531	1560
234	5556	1536
235	5591	1516
236	5617	1493
237	5643	1470
238	5668	1446
239	5693	1423
240	5717	1399
241	5738	1375
242	5762	1351
243	5788	1328
244	5814	1305
245	5836	1281
246	5854	1256
247	5871	1231
248	5897	1207
249	5926	1185
250	5952	1161
251	5978	1138
252	6004	1115
253	6025	1091
254	6047	1067
255	6072	1043
256	6096	1020
257	6121	996
258	6149	973
259	6169	949
260	6194	925
261	6220	902
262	6247	878
263	6273	855
264	6300	832
265	6327	808
266	6348	784
267	6362	759
268	6377	734
269	6397	710
270	6421	687
271	6445	663
272	6468	639
273	6493	616
274	6520	592
275	6545	569
276	6571	545
277	6596	522
278	6619	498
279	6638	474
280	6663	450
281	6688	426
282	6714	403
283	6739	379
284	6764	356
285	6797	332
286	6823	309
287	6848	285
288	6873	261
289	6900	237
290	6922	214
291	6935	190
292	6953	166
293	6978	142
294	7002	118
295	7025	94
296	7051	71
297	7076	47
298	7109	23
299	7132	0
