Farm_ID,Fertilizer_Used(tons),Crop_Type,Farm_Area(acres),Irrigation_Type,Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F001,3.63,Cotton,123.41,Rain-fed,4.07,19.63,Loamy,Rabi,60896.16
F002,5.99,Cotton,79.66,Flood,3.46,28.7,Peaty,Kharif,90472.45
F003,4.02,Soybean,167.93,Sprinkler,2.32,24.49,Loamy,Kharif,71371.05
F004,6.09,Cotton,133.18,Rain-fed,1.49,24.44,Loamy,Rabi,45476.97
F005,6.02,Tomato,347.62,Drip,4.62,34.55,Loamy,Rabi,89435.3
F006,8.62,Rice,292.36,Drip,2.49,33.21,Clay,Rabi,58805.3
F007,8.81,Sugarcane,308.96,Sprinkler,3.26,30.53,Peaty,Rabi,44953.29
F008,6.09,Carrot,307.86,Rain-fed,1.81,25.63,Peaty,Zaid,25052.58
F009,4.75,Cotton,377.94,Manual,2.55,23.07,Loamy,Zaid,41016.19
F010,2.73,Tomato,235.39,Manual,2.71,19.18,Clay,Rabi,21530.39
F011,6.98,Tomato,23.51,Flood,4.6,23.68,Clay,Kharif,26689.67
F012,4.97,Maize,301.36,Sprinkler,0.34,22.45,Sandy,Rabi,23878.72
F013,3.6,Rice,26.8,Flood,2.43,17.49,Sandy,Rabi,51125.73
F014,2.01,Sugarcane,372.97,Rain-fed,4.21,23.69,Peaty,Rabi,71500.87
F015,5.8,Cotton,322.02,Rain-fed,0.96,21.99,Silty,Rabi,47479.05
F016,7.92,Maize,224.43,Manual,2.04,27.71,Loamy,Zaid,28881.26
F017,3.93,Maize,197.14,Rain-fed,3.86,25.17,Loamy,Kharif,59727.26
F018,5.5,Onion,240.41,Flood,2.75,28.36,Silty,Kharif,89474.68
F019,3.13,Wheat,391.58,Manual,1.75,22.65,Clay,Kharif,93061.0
F020,3.05,Tomato,219.58,Sprinkler,2.84,24.91,Loamy,Zaid,43362.26
F021,2.58,Onion,69.05,Drip,4.36,20.57,Clay,Zaid,49868.49
F022,4.67,Soybean,366.2,Flood,1.31,19.86,Sandy,Kharif,66780.07
F023,4.25,Soybean,261.71,Rain-fed,2.93,23.33,Loamy,Rabi,86931.77
F024,7.66,Rice,142.78,Manual,1.84,29.77,Peaty,Kharif,48589.96
F025,8.13,Rice,167.01,Flood,1.09,27.78,Sandy,Rabi,47481.38
F026,8.06,Carrot,382.83,Drip,1.75,33.39,Clay,Kharif,64877.52
F027,3.44,Potato,247.28,Flood,2.3,24.13,Clay,Zaid,63721.69
F028,4.2,Potato,217.9,Flood,0.52,28.87,Loamy,Kharif,52249.6
F029,5.26,Sugarcane,208.32,Sprinkler,2.74,28.03,Silty,Rabi,89322.61
F030,7.69,Cotton,202.68,Drip,1.6,24.57,Sandy,Kharif,43649.87
F031,2.84,Carrot,367.99,Flood,2.17,26.99,Clay,Kharif,66564.68
F032,5.7,Sugarcane,95.29,Flood,3.74,25.26,Sandy,Kharif,42220.22
F033,2.24,Potato,105.78,Drip,2.29,20.1,Sandy,Zaid,40343.95
F034,4.75,Carrot,272.37,Rain-fed,3.86,28.91,Loamy,Kharif,63600.61
F035,5.45,Rice,224.5,Manual,1.18,27.78,Peaty,Kharif,95791.81
F036,1.59,Tomato,44.74,Sprinkler,3.25,21.16,Sandy,Kharif,21347.34
F037,3.93,Rice,298.02,Manual,1.57,26.28,Silty,Kharif,59239.61
F038,3.28,Sugarcane,203.69,Rain-fed,3.28,21.14,Clay,Rabi,62838.84
F039,2.61,Potato,366.72,Flood,3.59,27.82,Loamy,Kharif,27760.35
F040,5.06,Maize,238.48,Sprinkler,1.89,23.53,Silty,Kharif,49246.9
F041,6.24,Onion,351.03,Sprinkler,1.76,27.58,Loamy,Zaid,34476.09
F042,2.62,Rice,66.09,Rain-fed,4.18,17.48,Peaty,Kharif,44482.01
F043,6.79,Tomato,200.33,Manual,0.57,27.22,Peaty,Kharif,54906.77
F044,8.04,Cotton,160.37,Manual,1.36,24.32,Clay,Rabi,71726.88
F045,4.26,Cotton,133.13,Rain-fed,1.33,20.26,Loamy,Kharif,62013.32
F046,5.96,Tomato,131.67,Manual,0.3,28.03,Sandy,Zaid,86767.82
F047,4.44,Wheat,386.05,Drip,3.12,26.17,Clay,Kharif,66212.3
F048,7.57,Cotton,339.19,Drip,3.21,31.86,Loamy,Rabi,75569.55
F049,9.15,Potato,363.34,Drip,2.7,32.65,Clay,Zaid,72270.34
F050,3.77,Maize,188.09,Rain-fed,4.31,16.25,Sandy,Kharif,48983.15
F051,7.74,Cotton,324.57,Manual,1.94,31.49,Loamy,Kharif,97993.07
F052,4.39,Wheat,64.11,Sprinkler,4.42,20.74,Silty,Kharif,38165.74
