iter	RMSE
0	13.24034461
1	13.08708484
2	12.99308191
3	12.92642188
4	12.92641943
5	12.83997044
6	12.73451191
7	12.62627583
8	12.45661355
9	12.32740892
10	12.23282818
11	12.2320157
12	12.22899314
13	12.20614949
14	12.16605374
15	12.14230652
16	12.04652861
17	11.92124937
18	11.83785796
19	11.74817927
20	11.69153846
21	11.62333352
22	11.50070128
23	11.41660686
24	11.26761594
25	11.26758086
26	11.2292808
27	11.16787527
28	11.0509563
29	10.98290485
30	10.98003557
31	10.874388
32	10.76225832
33	10.68174137
34	10.68058544
35	10.65833229
36	10.50505942
37	10.39451487
38	10.31126668
39	10.27326991
40	10.25686909
41	10.16399409
42	10.13537661
43	10.00539224
44	9.944311982
45	9.917279794
46	9.917274309
47	9.879490274
48	9.834090389
49	9.78054681
50	9.727763546
51	9.643537185
52	9.629521652
53	9.532184555
54	9.480791876
55	9.391866499
56	9.310942724
57	9.224457096
58	9.221319588
59	9.182310865
60	9.175195912
61	9.124603179
62	9.081206616
63	9.022060237
64	8.945406612
65	8.854517389
66	8.82895855
67	8.725467723
68	8.677558801
69	8.605534158
70	8.550332739
71	8.501825077
72	8.430541526
73	8.411472696
74	8.392081584
75	8.349276958
76	8.313089153
77	8.277668588
78	8.249898721
79	8.22308849
80	8.216253192
81	8.158527996
82	8.103171942
83	7.993125
84	7.965360788
85	7.959050086
86	7.902883593
87	7.829835648
88	7.756815687
89	7.661215401
90	7.63483282
91	7.595850418
92	7.57013037
93	7.499317923
94	7.470515222
95	7.39009466
96	7.350985505
97	7.296884802
98	7.243415858
99	7.230642315
100	7.151318079
101	7.103161115
102	7.089741701
103	7.00917692
104	7.008124492
105	6.952397197
106	6.910064648
107	6.869716297
108	6.852583353
109	6.835837653
110	6.807905842
111	6.761086241
112	6.70929023
113	6.676819464
114	6.614681279
115	6.574630037
116	6.543401311
117	6.501106728
118	6.456676549
119	6.423238195
120	6.395147971
121	6.303864676
122	6.294020422
123	6.224714895
124	6.190625157
125	6.094767315
126	6.074958078
127	6.042575116
128	5.996270794
129	5.932935563
130	5.894585239
131	5.820874368
132	5.803256386
133	5.731902316
134	5.673617943
135	5.62836912
136	5.584847011
137	5.523580881
138	5.465579418
139	5.409147843
140	5.378953182
141	5.355995576
142	5.333747372
143	5.291440704
144	5.248792272
145	5.21428799
146	5.169804547
147	5.131010919
148	5.113980993
149	5.053811082
150	4.9913089
151	4.975253763
152	4.939695557
153	4.881323969
154	4.843321169
155	4.787172553
156	4.745888536
157	4.697981386
158	4.659717639
159	4.616263495
160	4.582834024
161	4.531807254
162	4.498730392
163	4.441907037
164	4.387232688
165	4.350926514
166	4.33432963
167	4.282730048
168	4.226174603
169	4.178466111
170	4.147942783
171	4.105456992
172	4.060155557
173	4.010493127
174	3.962921732
175	3.93518665
176	3.890048925
177	3.860370925
178	3.834206933
179	3.784596725
180	3.766416451
181	3.718912894
182	3.689704844
183	3.661648816
184	3.634694507
185	3.617460287
186	3.6026497
187	3.588519714
188	3.555525763
189	3.528872046
190	3.491595583
191	3.477341712
192	3.463612372
193	3.45038708
194	3.434199498
195	3.409771367
196	3.394189925
197	3.374448795
198	3.35959306
199	3.3366545
200	3.295852227
201	3.256593742
202	3.242533981
203	3.204921311
204	3.181370556
205	3.162412387
206	3.14400491
207	3.130995495
208	3.118456602
209	3.106411903
210	3.094721024
211	3.071005419
212	3.036996544
213	3.014484162
214	2.999697387
215	2.979901546
216	2.968530521
217	2.95877946
218	2.947777109
219	2.944843558
220	2.923592031
221	2.920858286
222	2.905167006
223	2.892088965
224	2.870206542
225	2.85553706
226	2.834545277
227	2.807118801
228	2.792403509
229	2.769846766
230	2.743448731
231	2.720301058
232	2.700053065
233	2.679409347
234	2.65880406
235	2.650399834
236	2.64145278
237	2.625662192
238	2.606567161
239	2.597017921
240	2.588519227
241	2.56973942
242	2.551844406
243	2.537450725
244	2.515322419
245	2.501839848
246	2.494554235
247	2.473668868
248	2.465970843
249	2.453388179
250	2.438405039
251	2.426742232
252	2.407772535
253	2.393975887
254	2.375915131
255	2.362464022
256	2.349450329
257	2.341207409
258	2.330619715
259	2.313839419
260	2.303853627
261	2.296537087
262	2.282354767
263	2.266452974
264	2.259374355
265	2.245180881
266	2.225581686
267	2.210901828
268	2.203979294
269	2.192700335
270	2.183840354
271	2.175335658
272	2.161902321
273	2.152993505
274	2.140048345
275	2.115569613
276	2.089690798
277	2.068151361
278	2.04315019
279	2.018811772
280	1.995756688
281	1.972203601
282	1.965934829
283	1.943030665
284	1.920896833
285	1.908839073
286	1.88450911
287	1.87306205
288	1.860157155
289	1.836566329
290	1.813456951
291	1.80186568
292	1.789731445
293	1.777988943
294	1.768160837
295	1.745119532
296	1.736302023
297	1.723416101
298	1.714863468
299	1.706340147
