iter	Passed	Remaining
0	169	50825
1	197	29427
2	224	22177
3	249	18459
4	252	14919
5	275	13503
6	293	12269
7	307	11234
8	324	10502
9	339	9847
10	355	9350
11	360	8656
12	366	8098
13	376	7692
14	392	7465
15	405	7190
16	426	7092
17	455	7141
18	486	7200
19	520	7286
20	545	7243
21	568	7189
22	602	7250
23	618	7108
24	644	7092
25	653	6882
26	681	6887
27	700	6802
28	719	6724
29	740	6660
30	751	6525
31	771	6459
32	787	6372
33	805	6305
34	819	6202
35	831	6094
36	855	6081
37	883	6089
38	907	6074
39	918	5973
40	929	5869
41	944	5801
42	959	5734
43	975	5678
44	992	5622
45	1007	5563
46	1010	5441
47	1022	5367
48	1043	5343
49	1061	5305
50	1081	5279
51	1101	5255
52	1113	5189
53	1134	5170
54	1154	5144
55	1188	5179
56	1223	5215
57	1254	5233
58	1266	5175
59	1284	5136
60	1296	5081
61	1309	5026
62	1322	4973
63	1340	4943
64	1354	4895
65	1368	4853
66	1383	4812
67	1401	4781
68	1425	4771
69	1439	4728
70	1453	4688
71	1468	4650
72	1485	4618
73	1495	4566
74	1505	4515
75	1521	4485
76	1535	4447
77	1549	4409
78	1563	4374
79	1582	4352
80	1587	4293
81	1602	4261
82	1622	4242
83	1637	4209
84	1653	4182
85	1662	4136
86	1685	4126
87	1709	4119
88	1738	4122
89	1762	4112
90	1777	4082
91	1793	4054
92	1808	4025
93	1824	3999
94	1840	3971
95	1854	3941
96	1870	3913
97	1901	3918
98	1923	3906
99	1963	3926
100	1981	3904
101	2010	3902
102	2035	3893
103	2060	3882
104	2085	3873
105	2107	3856
106	2123	3830
107	2142	3809
108	2161	3786
109	2173	3755
110	2196	3740
111	2221	3729
112	2247	3719
113	2280	3720
114	2310	3717
115	2330	3697
116	2358	3688
117	2390	3687
118	2408	3663
119	2424	3636
120	2436	3605
121	2545	3713
122	2588	3725
123	2645	3754
124	2965	4151
125	3591	4959
126	3664	4991
127	3941	5296
128	4192	5558
129	4295	5616
130	4366	5633
131	4624	5885
132	4706	5909
133	4760	5897
134	4813	5883
135	4852	5851
136	4891	5819
137	4928	5785
138	4963	5748
139	4996	5710
140	5026	5668
141	5059	5630
142	5096	5595
143	5142	5570
144	5185	5542
145	5215	5500
146	5245	5459
147	5276	5419
148	5307	5378
149	5336	5336
150	5365	5294
151	5395	5253
152	5426	5213
153	5454	5170
154	5480	5127
155	5502	5078
156	5524	5031
157	5546	4984
158	5578	4946
159	5608	4907
160	5640	4869
161	5667	4827
162	5693	4785
163	5721	4744
164	5753	4707
165	5783	4668
166	5809	4626
167	5837	4586
168	5871	4551
169	5919	4526
170	5953	4491
171	5980	4450
172	6003	4406
173	6026	4364
174	6051	4322
175	6076	4281
176	6099	4238
177	6139	4207
178	6166	4168
179	6204	4136
180	6241	4103
181	6284	4074
182	6380	4079
183	6421	4048
184	6461	4016
185	6492	3979
186	6520	3939
187	6545	3899
188	6586	3868
189	6610	3827
190	6633	3785
191	6661	3747
192	6685	3706
193	6712	3667
194	6736	3627
195	6757	3585
196	6801	3556
197	6828	3517
198	6861	3482
199	6891	3445
200	6918	3407
201	6936	3365
202	6955	3323
203	6975	3282
204	6992	3240
205	7007	3197
206	7023	3155
207	7041	3114
208	7056	3072
209	7072	3030
210	7091	2990
211	7111	2952
212	7135	2914
213	7155	2875
214	7181	2839
215	7204	2801
216	7225	2763
217	7242	2724
218	7261	2685
219	7275	2645
220	7292	2606
221	7309	2568
222	7332	2531
223	7357	2496
224	7378	2459
225	7404	2424
226	7430	2389
227	7452	2353
228	7475	2317
229	7496	2281
230	7517	2245
231	7547	2212
232	7574	2178
233	7609	2146
234	7637	2112
235	7661	2077
236	7695	2045
237	7723	2011
238	7754	1979
239	7804	1951
240	7837	1918
241	7858	1883
242	7882	1848
243	7902	1813
244	7929	1780
245	7955	1746
246	7974	1711
247	7993	1676
248	8009	1640
249	8024	1604
250	8038	1569
251	8052	1533
252	8080	1501
253	8111	1468
254	8146	1437
255	8179	1405
256	8199	1371
257	8216	1337
258	8232	1303
259	8247	1268
260	8262	1234
261	8278	1200
262	8294	1166
263	8311	1133
264	8327	1099
265	8347	1067
266	8366	1034
267	8387	1001
268	8403	968
269	8417	935
270	8443	903
271	8458	870
272	8476	838
273	8492	805
274	8505	773
275	8520	740
276	8536	708
277	8552	676
278	8565	644
279	8579	612
280	8596	581
281	8620	550
282	8636	518
283	8653	487
284	8669	456
285	8687	425
286	8701	394
287	8714	363
288	8731	332
289	8748	301
290	8771	271
291	8800	241
292	8828	210
293	8857	180
294	8883	150
295	8899	120
296	8923	90
297	8939	59
298	8956	29
299	8977	0
